num_lectures,price,days_since_published,content_duration
105,150,1745,5.5
29,95,1793,1.5
27,20,2458,2.0
35,200,2321,5.0
24,100,1782,1.0
7,125,1666,0.6333333333333333
43,20,2183,2.5
26,0,2907,3.5
7,0,2223,0.6
32,200,1877,3.0
10,75,2115,1.0
25,0,1621,3.5
22,20,1668,1.5
73,100,2849,9.0
49,50,1692,3.0
23,40,1942,5.5
10,20,2726,1.0
23,40,1932,1.5
212,195,1697,37.5
42,35,2318,2.0
23,200,2293,2.0
38,20,2213,3.5
10,20,3448,0.6
16,40,2132,1.5
104,50,2347,5.0
45,50,2003,3.5
13,0,2164,1.0
24,60,1827,1.5
37,50,2030,3.5
32,50,1884,2.0
38,140,1669,3.0
59,50,2144,2.5
22,50,2003,2.0
22,20,2237,1.5
55,20,1859,10.0
9,20,1621,0.5333333333333333
9,50,2579,0.6833333333333333
9,0,1759,1.0
26,200,1682,1.5
12,100,1557,1.5
38,20,1674,4.0
12,20,2356,0.65
132,100,2033,16.0
15,150,1777,0.65
32,20,2103,3.0
46,200,1709,3.5
21,200,1744,1.5
72,195,2077,5.0
25,20,2443,2.0
16,200,2156,1.5
137,110,1845,7.0
10,50,1856,0.5666666666666667
11,0,1987,1.0
21,100,1935,2.0
24,200,1571,4.0
5,200,2179,0.5333333333333333
89,50,2360,6.0
12,25,1716,1.0
6,130,1666,0.5333333333333333
98,150,2228,19.5
74,55,1997,5.0
14,40,1592,1.0
20,100,2587,1.0
50,195,1747,6.5
22,50,2883,1.0
53,50,2765,5.0
20,120,1977,2.0
19,25,2294,1.5
12,50,2994,1.0
211,25,1995,20.5
12,0,2149,1.5
28,35,1619,2.0
21,50,2692,3.5
16,60,1795,1.0
12,50,1652,1.5
66,195,2503,9.0
45,50,1670,6.0
124,200,3089,22.0
14,75,1798,1.5
8,20,1974,1.0
5,20,2740,1.0
20,0,2367,1.0
19,95,1801,1.0
44,100,1618,2.0
76,150,1770,5.5
22,0,1717,2.5
6,160,2095,1.0
43,20,2272,4.0
47,165,1645,5.5
30,50,2010,1.5
19,0,1767,2.0
11,20,2783,1.5
20,20,2349,1.0
11,45,2057,2.0
25,100,1858,2.5
86,90,2320,6.5
54,200,1571,3.0
11,20,1923,1.5
55,175,2363,7.0
6,20,1680,1.5
17,25,2411,1.0
49,100,2136,5.0
17,0,2046,1.0
14,40,2253,1.0
8,65,1838,1.5
136,50,2959,12.0
15,20,1816,0.6333333333333333
19,20,2307,3.0
7,20,1626,0.5833333333333334
64,150,1896,6.5
25,40,2423,2.0
9,20,2087,2.0
24,35,2241,1.5
70,195,2157,7.5
5,0,2045,1.0
6,0,1585,1.0
24,30,1805,2.0
81,195,1956,5.0
19,100,1557,3.0
134,150,2436,12.0
7,0,2111,0.6
20,50,2692,3.0
42,25,2927,3.0
13,0,1558,0.65
26,145,2174,1.5
41,30,1800,4.0
13,20,2334,2.0
20,95,1824,2.0
13,20,2378,1.5
8,20,2027,1.5
13,40,1585,1.0
111,150,1978,8.5
5,25,2453,0.5333333333333333
19,20,2478,1.5
33,35,2080,1.0
57,195,1746,17.0
56,200,2415,5.5
20,80,1800,1.0
43,50,2364,5.5
14,20,1605,0.6166666666666667
77,60,2096,5.5
29,20,1627,4.5
162,60,1999,18.5
31,95,2248,1.5
13,100,2136,1.5
73,200,1614,7.0
43,75,1683,1.0
10,20,2240,1.0
25,20,2478,1.5
10,25,1823,0.6
62,50,2201,3.0
13,50,2044,2.0
23,50,1761,1.0
62,50,3594,4.5
43,200,2194,4.5
37,40,2502,1.0
27,40,2370,1.0
80,50,1918,12.0
35,200,1737,2.5
7,20,2203,1.0
35,50,2013,5.0
33,75,2891,5.0
21,200,1805,2.0
25,50,2891,2.0
25,95,1592,2.0
56,120,1809,8.5
7,45,1946,1.0
78,20,2422,6.0
12,20,2633,1.5
97,100,2211,11.0
27,75,2088,5.5
14,20,2903,1.0
18,50,2759,3.0
73,170,1987,5.0
22,20,2280,1.0
12,20,2704,1.0
20,25,1751,1.0
21,20,2292,1.0
13,60,3141,1.5
33,20,1699,5.0
18,70,2271,1.5
80,50,1838,5.5
14,25,1891,0.5333333333333333
48,20,1809,4.5
15,35,2775,1.5
13,20,1929,0.5833333333333334
20,60,2439,1.5
11,0,2016,0.6333333333333333
31,70,1753,2.5
33,0,1584,3.5
9,50,2151,1.0
30,50,2185,1.5
28,20,1935,1.5
31,50,1999,1.0
10,20,2020,1.0
40,105,2339,2.5
62,60,2090,11.0
7,45,1768,0.55
13,30,2727,2.0
16,195,2025,2.0
17,100,1598,2.5
17,35,1628,1.5
26,150,1697,3.0
64,195,1579,6.5
12,30,2208,1.5
29,50,1939,2.0
25,50,3245,4.0
59,145,1738,3.0
11,0,2303,1.5
36,70,1981,3.5
26,20,2006,3.0
55,200,2462,6.5
32,40,2132,3.5
135,40,2284,6.0
26,65,2049,1.0
12,200,1771,1.0
45,50,2815,7.0
12,25,1936,1.0
31,50,2122,1.0
16,50,1564,1.0
49,40,1824,6.0
15,50,1944,1.5
14,20,1635,1.5
30,40,2657,3.5
18,195,2350,1.5
20,50,2717,4.5
57,50,3271,7.5
28,20,2460,2.0
31,0,2200,2.5
14,25,1756,2.0
42,195,2098,4.5
38,195,2318,2.5
16,200,1556,1.5
14,20,2979,1.5
11,20,1722,1.5
22,40,1627,2.0
18,40,2181,1.0
19,200,1824,1.0
65,165,1784,18.5
45,150,2091,4.0
24,180,3132,4.5
17,50,2034,1.5
33,35,1613,1.0
83,30,2440,5.0
31,50,1590,6.0
9,20,2175,0.6166666666666667
74,200,1563,8.5
125,200,1577,19.5
8,20,2899,1.0
25,20,1901,1.5
14,75,2012,1.0
16,95,2410,2.0
30,120,2221,3.0
7,20,1726,1.0
39,95,2509,2.0
32,0,2245,3.0
23,20,2692,3.0
41,195,2046,4.0
54,35,2152,4.0
89,150,1795,20.5
6,20,1592,0.7
33,25,1683,1.5
33,30,2501,2.0
18,40,2659,3.0
308,150,1989,29.5
28,85,2172,2.5
9,40,1771,0.6333333333333333
10,200,1689,2.0
52,35,3536,3.5
36,25,1562,3.0
98,175,1839,16.5
6,20,1586,0.5666666666666667
16,20,2535,2.0
18,0,1556,1.5
10,25,1751,1.0
64,35,3308,10.0
26,95,2024,2.0
39,95,1983,3.0
20,140,2151,1.5
28,100,2383,3.0
10,50,1928,1.0
17,25,2521,1.5
34,30,1926,3.5
65,150,1781,4.5
12,20,3047,1.0
30,85,2534,2.5
100,50,2529,6.0
13,0,2009,1.0
66,70,2102,6.5
40,50,2207,3.0
13,0,1611,2.0
30,95,2415,2.5
15,0,2555,2.5
9,25,1915,1.0
9,20,2139,1.0
15,200,1666,0.7333333333333333
21,55,1901,1.0
18,40,2383,2.5
18,50,1690,2.0
19,200,1821,1.5
211,200,2296,19.5
67,195,2166,7.0
49,60,2042,3.0
64,50,1919,4.5
74,25,2313,14.0
36,0,1638,5.0
34,25,2125,4.0
8,20,1555,0.5833333333333334
10,40,1859,0.6166666666666667
15,50,1845,0.6666666666666666
96,150,2103,11.0
115,100,1794,11.5
71,50,2804,1.5
126,50,2529,7.5
35,50,2201,2.0
7,50,1977,1.0
60,40,1870,2.0
19,200,1614,2.0
94,50,2041,13.0
33,20,2048,2.0
21,150,1687,2.0
30,145,2263,1.5
23,0,1653,2.0
43,30,1716,2.5
15,45,2054,2.0
72,200,1963,5.5
12,0,2401,1.0
32,20,2296,1.5
21,200,1956,2.0
18,20,2238,1.5
29,105,2563,2.5
27,45,1584,3.5
87,50,2991,47.0
28,20,2519,2.5
36,20,1824,1.0
